Year,Age_Group,Income_Segment,Gender,Purchase_Channel,Units_Thousands,Satisfaction_Score,Brand_Loyalty_Percent,Trade_In_Percent,EMI_Purchases_Percent
2020,18-25,Upper Middle,Male,Online,320,4.2,72,28,65
2020,18-25,Upper Middle,Female,Online,285,4.3,74,25,62
2020,26-35,High Income,Male,Offline,425,4.5,81,45,42
2020,26-35,High Income,Female,Offline,380,4.6,83,42,40
2020,36-45,High Income,Male,Offline,215,4.4,85,52,28
2020,36-45,High Income,Female,Offline,190,4.5,87,49,25
2020,46-55,High Income,Male,Offline,125,4.3,88,58,15
2020,46-55,High Income,Female,Online,98,4.4,86,55,18
2021,18-25,Upper Middle,Male,Online,485,4.3,73,30,68
2021,18-25,Upper Middle,Female,Online,432,4.4,75,27,65
2021,26-35,High Income,Male,Online,620,4.6,82,47,45
2021,26-35,High Income,Female,Offline,548,4.7,84,44,42
2021,36-45,High Income,Male,Offline,312,4.5,86,54,30
2021,36-45,High Income,Female,Offline,276,4.6,88,51,27
2021,46-55,High Income,Male,Offline,182,4.4,89,60,17
2021,46-55,High Income,Female,Online,145,4.5,87,57,20
2022,18-25,Upper Middle,Male,Online,680,4.4,74,32,70
2022,18-25,Upper Middle,Female,Online,612,4.5,76,29,67
2022,26-35,High Income,Male,Online,850,4.7,83,49,48
2022,26-35,High Income,Female,Online,765,4.8,85,46,45
2022,36-45,High Income,Male,Offline,432,4.6,87,56,32
2022,36-45,High Income,Female,Offline,385,4.7,89,53,29
2022,46-55,High Income,Male,Offline,248,4.5,90,62,19
2022,46-55,High Income,Female,Online,205,4.6,88,59,22
2023,18-25,Upper Middle,Male,Online,920,4.5,75,34,72
2023,18-25,Upper Middle,Female,Online,845,4.6,77,31,69
2023,26-35,High Income,Male,Online,1180,4.8,84,51,50
2023,26-35,High Income,Female,Online,1065,4.9,86,48,47
2023,36-45,High Income,Male,Online,598,4.7,88,58,34
2023,36-45,High Income,Female,Offline,532,4.8,90,55,31
2023,46-55,High Income,Male,Offline,342,4.6,91,64,21
2023,46-55,High Income,Female,Online,285,4.7,89,61,24
2024,18-25,Upper Middle,Male,Online,1250,4.6,76,36,74
2024,18-25,Upper Middle,Female,Online,1125,4.7,78,33,71
2024,26-35,High Income,Male,Online,1580,4.9,85,53,52
2024,26-35,High Income,Female,Online,1425,5.0,87,50,49
2024,36-45,High Income,Male,Online,812,4.8,89,60,36
2024,36-45,High Income,Female,Online,720,4.9,91,57,33
2024,46-55,High Income,Male,Offline,465,4.7,92,66,23
2024,46-55,High Income,Female,Online,385,4.8,90,63,26
