Year,Brand,Market_Share_Percent,Units_Sold_Millions,Segment
2017,Apple,1.4,1.36,Premium
2017,Samsung,26.2,25.43,All Segments
2017,Xiaomi,18.5,17.96,Budget
2017,Oppo,8.7,8.44,Mid-range
2017,Vivo,7.2,6.99,Mid-range
2017,Others,37.8,36.69,Various
2018,Apple,1.8,2.15,Premium
2018,Samsung,24.8,29.62,All Segments
2018,Xiaomi,28.9,34.51,Budget
2018,Oppo,9.1,10.87,Mid-range
2018,Vivo,8.3,9.91,Mid-range
2018,Others,27.1,32.36,Various
2019,Apple,2.2,2.46,Premium
2019,Samsung,20.4,22.79,All Segments
2019,Xiaomi,27.1,30.28,Budget
2019,Oppo,11.2,12.51,Mid-range
2019,Vivo,9.8,10.95,Mid-range
2019,Others,29.3,32.73,Various
2020,Apple,2.9,2.74,Premium
2020,Samsung,22.1,20.87,All Segments
2020,Xiaomi,26.5,25.01,Budget
2020,Oppo,12.4,11.70,Mid-range
2020,Vivo,10.3,9.72,Mid-range
2020,Others,25.8,24.35,Various
2021,Apple,4.2,5.14,Premium
2021,Samsung,19.3,23.62,All Segments
2021,Xiaomi,24.9,30.47,Budget
2021,Oppo,13.1,16.03,Mid-range
2021,Vivo,11.4,13.95,Mid-range
2021,Others,27.1,33.17,Various
2022,Apple,5.5,6.97,Premium
2022,Samsung,20.0,25.34,All Segments
2022,Xiaomi,22.3,28.25,Budget
2022,Oppo,12.8,16.22,Mid-range
2022,Vivo,10.9,13.81,Mid-range
2022,Others,28.5,36.11,Various
2023,Apple,6.9,9.39,Premium
2023,Samsung,18.7,25.46,All Segments
2023,Xiaomi,21.1,28.74,Budget
2023,Oppo,12.2,16.61,Mid-range
2023,Vivo,10.5,14.30,Mid-range
2023,Others,30.6,41.67,Various
2024,Apple,8.2,11.31,Premium
2024,Samsung,17.9,24.68,All Segments
2024,Xiaomi,20.4,28.13,Budget
2024,Oppo,11.8,16.28,Mid-range
2024,Vivo,10.1,13.93,Mid-range
2024,Others,31.6,43.60,Various
